episode,reward,epsilon,mean_loss
1,-36972.0,1.0,0.5088110763307239
2,-35586.0,0.98,0.00438123186633753
3,-35190.0,0.9603999999999999,0.003614069251682265
4,-33516.0,0.9411919999999999,0.0031529179953754998
5,-33156.0,0.9223681599999999,0.0039063274916072
6,-32040.0,0.9039207967999998,0.003505417241815544
7,-33156.0,0.8858423808639998,0.0036625533893273506
8,-31086.0,0.8681255332467198,0.003250313987490832
9,-31698.0,0.8507630225817854,0.00447514545147818
10,-29916.0,0.8337477621301497,0.004028274045074779
11,-29016.0,0.8170728068875467,0.004592415157127988
12,-29124.0,0.8007313507497957,0.004142737815560609
13,-28476.0,0.7847167237347998,0.003040048446882594
14,-27252.0,0.7690223892601038,0.00364677481593679
15,-26946.0,0.7536419414749017,0.003286098634698055
16,-27180.0,0.7385691026454037,0.004138426904196328
17,-25074.0,0.7237977205924956,0.004087540293922446
18,-25938.0,0.7093217661806457,0.004548167074762715
19,-25182.0,0.6951353308570327,0.0037830768454734155
20,-24336.0,0.6812326242398921,0.003919258581200819
21,-24354.0,0.6676079717550942,0.003688458952743634
22,-24030.0,0.6542558123199923,0.004146329477119758
23,-23202.0,0.6411706960735924,0.004761151969336804
24,-22248.0,0.6283472821521205,0.004072567621807125
