feature,importance
sensor_11_mean_5,0.3178768841216702
sensor_11_ewm_04,0.24851029078597142
mean_sensor_level_5,0.0569677477572301
sensor_11_slope_30,0.056354828905269515
holt_level,0.03703938132315278
sensor_11_mean_15,0.029669720503471442
sensor_15_mean_5,0.02316155079905914
sensor_15_mean_15,0.0198874511586315
sensor_12_slope_30,0.01864530537408384
sensor_15_ewm_04,0.014696360043479816
