series,adf_stat,p_value,crit_5pct
sensor_7_first_difference,-40.89277216419765,0.0,-2.861740262818856
sensor_12_first_difference,-48.50807828518953,0.0,-2.861740221200134
sensor_21_first_difference,-20.735488375545728,0.0,-2.8617405407197807
