threshold,expected_cost,preventive_rate,miss_rate
0.05,4.6937687437520825,0.2572475841386205,0.0006664445184938354
0.1,4.39786737754082,0.23025658113962014,0.0026657780739753416
0.15,4.182605798067311,0.21126291236254582,0.003998667110963012
0.2,4.108630456514495,0.19660113295568143,0.005998000666444518
0.25,4.067310896367878,0.18727090969676774,0.007330889703432189
0.3,4.003665444851716,0.1749416861046318,0.008997000999666778
0.35,4.022325891369544,0.16894368543818727,0.010329890036654448
0.39999999999999997,4.149616794401866,0.161946017994002,0.01299566811062979
0.44999999999999996,4.205931356214595,0.1562812395868044,0.014661779406864379
0.49999999999999994,4.369210263245585,0.15128290569810063,0.01732755748083972
0.5499999999999999,4.512829056981007,0.1469510163278907,0.019660113295568143
0.6,4.719760079973343,0.14261912695768078,0.022659113628790403
0.65,4.871042985671443,0.13695434855048316,0.025324891702765744
0.7,5.212262579140287,0.13128957014328557,0.02999000333222259
0.75,5.6894368543818725,0.12262579140286571,0.036654448517160945
0.7999999999999999,6.115294901699434,0.11462845718093968,0.042652449183605466
0.85,6.776407864045318,0.10563145618127291,0.05131622792402533
0.9,7.490503165611463,0.0943018993668777,0.06097967344218594
0.95,8.793068977007664,0.07697434188603798,0.07797400866377874
