continue_value,replace_value
-0.5438153302985792,-18.50700461110755
-0.45748037579350526,-18.42668177058182
-0.7433405592161455,-18.49021718279604
-0.5444086766101328,-18.44801269613403
-0.126664421271121,-11.739116020593704
-0.07440668702706003,-18.441901892026298
-0.12558154691666099,-15.368696594462946
0.0,0.0
-0.10130127810010932,-2.2248024649176554
-0.12037430336352249,-18.3800508239636
-0.06598941528429915,-7.370363800417563
0.0,0.0
0.0,0.0
-0.022111152170284892,-9.888187500264534
-0.0751245300927018,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.8553846235239742,-18.062457911856644
-0.9056507880431471,-18.448365541041507
-0.7139338862604733,-17.537701677100628
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.015322002712501876,0.0
0.0,0.0
0.0,0.0
-0.06321755771613137,-2.1945953724509013
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-2.2083952822288637
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
